iter	Passed	Remaining
0	61	61067
1	107	53500
2	149	49742
3	188	46869
4	232	46180
5	274	45509
6	325	46220
7	372	46209
8	418	46068
9	459	45506
10	498	44844
11	536	44210
12	578	43950
13	620	43714
14	665	43710
15	711	43732
16	756	43717
17	800	43695
18	849	43842
19	911	44686
20	1004	46832
21	1069	47549
22	1117	47451
23	1163	47303
24	1211	47248
25	1256	47054
26	1302	46953
27	1346	46740
28	1388	46503
29	1435	46404
30	1477	46175
31	1523	46085
32	1575	46165
33	1616	45921
34	1657	45705
35	1700	45523
36	1739	45284
37	1778	45026
38	1817	44791
39	1855	44534
40	1893	44278
41	1935	44137
42	1978	44041
43	2017	43824
44	2063	43799
45	2104	43651
46	2145	43501
47	2189	43428
48	2234	43366
49	2279	43319
50	2321	43193
51	2368	43170
52	2412	43113
53	2453	42985
54	2493	42835
55	2531	42668
56	2570	42527
57	2608	42368
58	2647	42220
59	2687	42105
60	2732	42065
61	2780	42067
62	2830	42092
63	2871	41990
64	2918	41984
65	2966	41975
66	3008	41899
67	3052	41839
68	3096	41780
69	3136	41674
70	3174	41540
71	3213	41413
72	3250	41275
73	3287	41138
74	3329	41063
75	3369	40967
76	3415	40939
77	3457	40870
78	3502	40829
79	3544	40756
80	3580	40624
81	3619	40520
82	3657	40406
83	3694	40291
84	3732	40184
85	3770	40074
86	3807	39954
87	3845	39852
88	3882	39742
89	3924	39685
90	3963	39586
91	4001	39493
92	4038	39388
93	4075	39280
94	4112	39179
95	4150	39080
96	4187	38986
97	4225	38887
98	4261	38786
99	4298	38687
100	4336	38602
101	4373	38504
102	4412	38423
103	4448	38326
104	4488	38260
105	4532	38222
106	4575	38189
107	4621	38170
108	4660	38097
109	4701	38042
110	4739	37961
111	4783	37923
112	4826	37889
113	4870	37854
114	4914	37821
115	4955	37766
116	4998	37724
117	5041	37680
118	5080	37615
119	5127	37603
120	5175	37600
121	5225	37605
122	5274	37610
123	5327	37636
124	5387	37712
125	5437	37715
126	5481	37680
127	5522	37620
128	5563	37564
129	5604	37507
130	5641	37423
131	5681	37356
132	5720	37290
133	5760	37225
134	5797	37145
135	5836	37079
136	5876	37020
137	5934	37072
138	5990	37106
139	6054	37188
140	6111	37235
141	6164	37245
142	6215	37251
143	6260	37213
144	6307	37193
145	6355	37174
146	6402	37154
147	6451	37138
148	6498	37114
149	6545	37089
150	6600	37110
151	6650	37104
152	6699	37090
153	6747	37065
154	6796	37050
155	6849	37056
156	6905	37080
157	6968	37138
158	7029	37178
159	7087	37210
160	7155	37287
161	7233	37418
162	7299	37480
163	7351	37476
164	7405	37477
165	7457	37468
166	7509	37459
167	7561	37446
168	7610	37421
169	7671	37456
170	7734	37498
171	7855	37817
172	7914	37833
173	7980	37884
174	8044	37924
175	8102	37935
176	8175	38014
177	8244	38072
178	8311	38119
179	8361	38089
180	8409	38053
181	8461	38030
182	8511	38000
183	8561	37966
184	8626	38003
185	8685	38008
186	8758	38080
187	8821	38101
188	8884	38122
189	8947	38145
190	9013	38176
191	9076	38195
192	9143	38231
193	9208	38257
194	9282	38321
195	9351	38358
196	9421	38403
197	9490	38440
198	9558	38473
199	9617	38470
200	9674	38458
201	9730	38441
202	9786	38422
203	9837	38385
204	9897	38383
205	9958	38381
206	10032	38432
207	10095	38441
208	10155	38434
209	10204	38386
210	10261	38371
211	10317	38348
212	10373	38327
213	10445	38367
214	10517	38399
215	10585	38422
216	10663	38477
217	10744	38541
218	10796	38503
219	10848	38462
220	10911	38461
221	10966	38433
222	11037	38456
223	11107	38479
224	11171	38479
225	11227	38452
226	11292	38454
227	11364	38479
228	11420	38451
229	11484	38446
230	11552	38457
231	11618	38462
232	11686	38469
233	11750	38465
234	11811	38448
235	11875	38442
236	11931	38411
237	12011	38458
238	12075	38450
239	12142	38450
240	12200	38424
241	12266	38421
242	12323	38391
243	12387	38381
244	12444	38349
245	12511	38349
246	12584	38364
247	12652	38364
248	12719	38363
249	12784	38353
250	12846	38334
251	12907	38312
252	12966	38283
253	13031	38274
254	13092	38251
255	13155	38232
256	13220	38220
257	13277	38186
258	13340	38165
259	13400	38139
260	13457	38104
261	13517	38076
262	13569	38026
263	13628	37995
264	13687	37962
265	13741	37918
266	13798	37881
267	13863	37866
268	13932	37861
269	14007	37872
270	14081	37878
271	14133	37827
272	14180	37763
273	14231	37708
274	14289	37671
275	14345	37630
276	14415	37625
277	14475	37594
278	14530	37549
279	14577	37485
280	14620	37408
281	14664	37336
282	14716	37285
283	14765	37224
284	14813	37164
285	14860	37098
286	14908	37038
287	14968	37005
288	15025	36966
289	15108	36990
290	15188	37005
291	15245	36965
292	15304	36928
293	15368	36906
294	15421	36854
295	15485	36830
296	15541	36786
297	15605	36762
298	15680	36763
299	15745	36739
300	15814	36726
301	15891	36729
302	15970	36737
303	16040	36723
304	16100	36687
305	16161	36654
306	16211	36594
307	16266	36546
308	16332	36522
309	16381	36463
310	16449	36441
311	16511	36410
312	16566	36361
313	16622	36314
314	16665	36241
315	16710	36170
316	16777	36148
317	16838	36113
318	16907	36094
319	16971	36064
320	17028	36020
321	17080	35964
322	17133	35910
323	17186	35857
324	17242	35811
325	17295	35758
326	17350	35709
327	17411	35672
328	17470	35631
329	17531	35593
330	17581	35535
331	17632	35476
332	17682	35418
333	17748	35390
334	17801	35336
335	17872	35320
336	17935	35284
337	18004	35262
338	18058	35212
339	18107	35149
340	18158	35091
341	18224	35063
342	18276	35007
343	18342	34977
344	18409	34950
345	18465	34902
346	18522	34856
347	18568	34790
348	18621	34734
349	18670	34673
350	18717	34608
351	18777	34568
352	18834	34521
353	18894	34480
354	18960	34450
355	19023	34412
356	19079	34364
357	19142	34328
358	19207	34296
359	19272	34262
360	19340	34234
361	19404	34199
362	19463	34155
363	19516	34100
364	19573	34052
365	19625	33995
366	19685	33953
367	19744	33909
368	19814	33883
369	19884	33857
370	19944	33813
371	19998	33760
372	20052	33707
373	20111	33661
374	20171	33619
375	20239	33589
376	20298	33543
377	20350	33486
378	20400	33426
379	20448	33364
380	20507	33317
381	20565	33271
382	20637	33245
383	20694	33197
384	20751	33148
385	20815	33109
386	20871	33060
387	20932	33016
388	20998	32982
389	21061	32942
390	21116	32890
391	21169	32834
392	21231	32792
393	21289	32744
394	21347	32697
395	21402	32644
396	21475	32619
397	21548	32592
398	21659	32625
399	21719	32579
400	21769	32518
401	21817	32455
402	21869	32396
403	21917	32334
404	21973	32281
405	22031	32233
406	22088	32182
407	22160	32154
408	22220	32108
409	22275	32054
410	22325	31994
411	22372	31930
412	22424	31871
413	22472	31809
414	22518	31743
415	22564	31676
416	22612	31614
417	22660	31551
418	22705	31484
419	22749	31416
420	22799	31356
421	22846	31292
422	22892	31226
423	22938	31161
424	22988	31102
425	23038	31042
426	23094	30991
427	23151	30940
428	23211	30894
429	23271	30848
430	23340	30813
431	23407	30776
432	23465	30726
433	23517	30670
434	23571	30615
435	23631	30568
436	23686	30515
437	23738	30459
438	23787	30398
439	23838	30339
440	23887	30279
441	23935	30217
442	23986	30159
443	24036	30100
444	24101	30059
445	24159	30009
446	24216	29959
447	24277	29913
448	24340	29869
449	24394	29815
450	24437	29748
451	24485	29685
452	24530	29620
453	24576	29557
454	24625	29496
455	24674	29436
456	24722	29375
457	24781	29326
458	24837	29274
459	24899	29229
460	24958	29180
461	25019	29135
462	25067	29074
463	25112	29009
464	25156	28943
465	25202	28880
466	25257	28826
467	25309	28771
468	25383	28739
469	25449	28698
470	25511	28652
471	25565	28599
472	25615	28539
473	25671	28487
474	25734	28443
475	25788	28389
476	25852	28345
477	25918	28303
478	25969	28246
479	26027	28196
480	26081	28141
481	26137	28090
482	26201	28046
483	26269	28006
484	26339	27969
485	26395	27916
486	26450	27862
487	26516	27820
488	26567	27763
489	26629	27716
490	26697	27676
491	26753	27623
492	26812	27573
493	26873	27526
494	26933	27478
495	26993	27429
496	27053	27380
497	27104	27322
498	27153	27262
499	27205	27205
500	27261	27152
501	27328	27111
502	27392	27065
503	27454	27018
504	27525	26980
505	27584	26930
506	27643	26880
507	27699	26826
508	27758	26776
509	27818	26727
510	27880	26680
511	27940	26630
512	27994	26575
513	28049	26521
514	28107	26470
515	28164	26418
516	28221	26365
517	28277	26312
518	28334	26260
519	28392	26208
520	28448	26155
521	28503	26101
522	28562	26049
523	28616	25995
524	28670	25940
525	28727	25887
526	28784	25834
527	28853	25793
528	28923	25752
529	28986	25704
530	29045	25654
531	29102	25601
532	29168	25556
533	29227	25505
534	29291	25458
535	29351	25408
536	29412	25359
537	29471	25308
538	29530	25256
539	29593	25208
540	29648	25154
541	29710	25106
542	29773	25058
543	29839	25012
544	29900	24963
545	29959	24911
546	30020	24861
547	30098	24825
548	30150	24768
549	30198	24707
550	30248	24648
551	30304	24594
552	30352	24534
553	30399	24473
554	30443	24409
555	30487	24345
556	30534	24284
557	30579	24222
558	30627	24162
559	30677	24103
560	30724	24042
561	30768	23979
562	30817	23920
563	30861	23857
564	30913	23800
565	30959	23739
566	31007	23679
567	31054	23619
568	31102	23559
569	31152	23500
570	31212	23450
571	31274	23401
572	31333	23349
573	31392	23298
574	31450	23246
575	31499	23187
576	31550	23129
577	31605	23075
578	31666	23025
579	31722	22971
580	31771	22913
581	31829	22860
582	31890	22810
583	31951	22759
584	32002	22702
585	32056	22647
586	32104	22587
587	32152	22528
588	32200	22469
589	32247	22409
590	32300	22353
591	32355	22298
592	32407	22242
593	32456	22184
594	32508	22127
595	32562	22072
596	32620	22020
597	32687	21973
598	32747	21922
599	32808	21872
600	32869	21821
601	32925	21767
602	32981	21714
603	33044	21664
604	33100	21611
605	33161	21560
606	33224	21511
607	33284	21459
608	33344	21408
609	33399	21354
610	33453	21298
611	33510	21244
612	33563	21189
613	33618	21134
614	33677	21082
615	33734	21029
616	33794	20977
617	33851	20924
618	33905	20869
619	33962	20815
620	34022	20763
621	34089	20716
622	34141	20660
623	34195	20605
624	34248	20549
625	34305	20495
626	34366	20444
627	34424	20391
628	34475	20334
629	34532	20280
630	34584	20224
631	34639	20169
632	34683	20108
633	34729	20049
634	34776	19989
635	34824	19931
636	34870	19871
637	34917	19811
638	34966	19753
639	35021	19699
640	35072	19643
641	35139	19595
642	35232	19561
643	35309	19518
644	35374	19469
645	35435	19417
646	35498	19368
647	35555	19314
648	35612	19260
649	35663	19203
650	35710	19144
651	35769	19091
652	35820	19034
653	35868	18976
654	35924	18921
655	35983	18869
656	36042	18816
657	36112	18769
658	36172	18717
659	36228	18663
660	36288	18611
661	36343	18556
662	36394	18499
663	36456	18448
664	36506	18390
665	36559	18334
666	36615	18280
667	36688	18234
668	36769	18192
669	36820	18135
670	36867	18076
671	36926	18023
672	36983	17969
673	37049	17920
674	37107	17866
675	37158	17809
676	37210	17753
677	37260	17695
678	37316	17641
679	37366	17584
680	37418	17527
681	37474	17473
682	37528	17417
683	37578	17360
684	37628	17303
685	37677	17245
686	37727	17188
687	37778	17132
688	37834	17077
689	37891	17023
690	37944	16968
691	38000	16913
692	38052	16857
693	38106	16801
694	38161	16746
695	38215	16691
696	38266	16635
697	38319	16579
698	38383	16528
699	38451	16479
700	38530	16434
701	38597	16384
702	38651	16329
703	38707	16274
704	38759	16218
